Description,Accession,ALL_19769_B-cell,,ALL_23953_B-cell,,ALL_28373_B-cell,,ALL_9335_B-cell,,ALL_9692_B-cell,,ALL_14749_B-cell,,ALL_17281_B-cell,,ALL_19183_B-cell,,ALL_20414_B-cell,,ALL_21302_B-cell,,ALL_549_B-cell,,ALL_17929_B-cell,,ALL_20185_B-cell,,ALL_11103_B-cell,,ALL_18239_B-cell,,ALL_5982_B-cell,,ALL_7092_B-cell,,ALL_R11_B-cell,,ALL_R23_B-cell,,ALL_16415_T-cell,,ALL_19881_T-cell,,ALL_9186_T-cell,,ALL_9723_T-cell,,ALL_17269_T-cell,,ALL_14402_T-cell,,ALL_17638_T-cell,,ALL_22474_T-cell,,AML_12,,AML_13,,AML_14,,AML_16,,AML_20,,AML_1,,AML_2,,AML_3,,AML_5,,AML_6,,AML_7,,"
"
Nucleoside Diphosphate Kinase Nm23-H2s,HG1153-HT1153_at,1016,P,3518,P,5323,P,1712,P,987,P,3138,P,3790,P,4679,P,3639,P,4349,P,2818,P,2296,P,12554,P,8189,P,1213,P,4387,P,2531,P,2226,P,2141,P,3283,P,2304,P,1932,P,4222,P,3254,P,2555,P,2767,P,2344,P,3467,P,2144,P,2345,P,2808,P,2369,P,3534,P,3145,P,4212,P,3788,P,2648,P,2284,P,"
"
"Colony-Stimulating Factor 1, Macrophage, Alt. Splice 3",HG1155-HT4822_at,2180,P,1837,P,1113,P,1802,P,2446,P,1036,P,1299,P,1134,P,1528,P,2001,P,1570,P,1242,P,2132,P,1070,P,1472,P,1395,P,1667,P,1596,P,2560,P,1563,P,2437,P,1445,P,1760,P,1256,P,1196,P,1361,P,1450,P,2182,P,1724,P,2192,P,1911,P,2700,P,1790,P,892,P,1678,P,1933,P,2079,P,2789,P,"
"
Ribosomal Protein S20,HG1800-HT1823_at,19655,P,18830,P,21111,P,19849,P,15205,P,19577,P,20687,P,17932,P,18315,P,17411,P,18601,P,18801,P,22556,P,29755,P,21572,P,20826,P,18762,P,18406,P,17998,P,20187,P,23336,P,19538,P,21535,P,16951,P,21121,P,20374,P,16908,P,22263,P,22943,P,19110,P,21920,P,21785,P,20244,P,18344,P,21220,P,17450,P,14390,P,22666,P,"
"
"Protein Kinase Ht31, Camp-Dependent",HG2167-HT2237_at,456,P,451,P,419,P,258,P,977,P,617,P,375,P,353,P,262,P,366,P,277,P,300,P,1322,P,569,P,1809,P,591,P,506,P,624,P,189,P,683,P,531,P,227,P,469,P,293,P,439,P,426,P,7,P,563,P,430,P,603,P,701,P,760,P,1241,P,370,P,1429,P,141,P,744,P,755,P,"
"
Ribosomal Protein L30 Homolog,HG2873-HT3017_at,18100,P,23118,P,22720,P,18841,P,22522,P,22752,P,23136,P,21947,P,21321,P,21474,P,20779,P,22340,P,19523,P,31569,P,24401,P,23707,P,24661,P,20536,P,24651,P,23566,P,22374,P,18614,P,21833,P,20057,P,22784,P,22147,P,23389,P,23958,P,21087,P,20882,P,22597,P,21757,P,22070,P,26325,P,22311,P,24217,P,22882,P,24203,P,"
"
Ribosomal Protein L30,HG311-HT311_at,7559,P,8056,P,12110,P,5452,P,4497,P,8181,P,5237,P,10051,P,8534,P,5960,P,10393,P,6128,P,22535,P,12697,P,9303,P,8861,P,10992,P,7502,P,8449,P,12458,P,9547,P,5729,P,14630,P,7450,P,6251,P,9273,P,6924,P,8288,P,6667,P,6760,P,11468,P,8283,P,10619,P,10432,P,10270,P,7237,P,6684,P,7605,P,"
"
Metallopanstimulin 1,HG3214-HT3391_at,20707,P,20870,P,20273,P,25068,P,17431,P,22898,P,21275,P,18258,P,21387,P,15773,P,20255,P,21611,P,15728,P,26210,P,26684,P,24278,P,20604,P,20812,P,22893,P,20221,P,23822,P,25237,P,19273,P,22820,P,22982,P,21518,P,27509,P,21313,P,21462,P,22818,P,21275,P,23312,P,19214,P,18124,P,19622,P,22099,P,21517,P,20859,P,"
"
"Ribosomal Protein S4, X-Linked",HG33-HT33_at,12801,P,13815,P,18906,P,16561,P,12447,P,20753,P,20684,P,15934,P,13565,P,16893,P,13183,P,13512,P,16780,P,19284,P,12957,P,15007,P,16464,P,14985,P,19141,P,15610,P,12638,P,8129,P,16863,P,14326,P,15790,P,15479,P,12900,P,18904,P,18411,P,14054,P,17144,P,14261,P,17244,P,17145,P,15314,P,16408,P,14175,P,17776,P,"
"
Ribosomal Protein L37,HG3364-HT3541_at,19899,P,22312,P,22697,P,19287,P,13007,P,23702,P,20523,P,20416,P,23724,P,16642,P,24001,P,25499,P,18320,P,30075,P,23277,P,23648,P,20839,P,23141,P,22646,P,22408,P,23045,P,19133,P,20941,P,21273,P,22473,P,22500,P,22194,P,23195,P,25319,P,21662,P,23192,P,23865,P,21143,P,23428,P,19081,P,21467,P,20243,P,20548,P,"
"
"Tropomyosin Tm30nm, Cytoskeletal",HG3514-HT3708_at,4281,P,4225,P,5452,P,2659,P,2635,P,3509,P,5468,P,4294,P,3221,P,10907,P,2338,P,3203,P,7811,P,2086,P,3771,P,3467,P,3644,P,4558,P,2345,P,7832,P,5472,P,2950,P,8513,P,4538,P,5841,P,5232,P,1900,P,5639,P,3354,P,7072,P,5294,P,2487,P,4044,P,4437,P,7578,P,7092,P,6402,P,5315,P,"
"
Ras-Related Protein Rap1b,HG3521-HT3715_at,830,P,1039,P,1607,P,488,P,1439,P,480,P,827,P,1109,P,970,P,2393,P,482,P,686,P,2534,P,228,P,625,P,945,P,895,P,350,P,597,P,1302,P,2097,P,832,P,2342,P,1057,P,1175,P,1278,P,549,P,847,P,343,P,1430,P,1411,P,627,P,1360,P,1198,P,2152,P,684,P,1224,P,1767,P,"
"
Wilm'S Tumor-Related Protein,HG3549-HT3751_at,24223,P,21932,P,23271,P,16141,P,17740,P,26881,P,27162,P,20978,P,22745,P,21754,P,21609,P,22204,P,22266,P,6578,P,25040,P,21634,P,21849,P,24753,P,23298,P,21103,P,22417,P,18656,P,22440,P,24074,P,23784,P,21210,P,20960,P,21521,P,19688,P,20754,P,21686,P,20689,P,20800,P,20491,P,22048,P,21571,P,18661,P,21907,P,"
"
Ribosomal Protein L26,HG384-HT384_at,9070,P,10631,P,10013,P,7952,P,3053,P,8074,P,9504,P,5935,P,10337,P,6057,P,10145,P,10017,P,12853,P,15248,P,9140,P,11627,P,7298,P,9226,P,8948,P,10080,P,8599,P,7576,P,10071,P,7919,P,10757,P,10811,P,8769,P,11394,P,9550,P,7429,P,10721,P,11411,P,10044,P,6016,P,10339,P,8468,P,10520,P,10221,P,"
"
Retinoblastoma 1,HG4036-HT4306_at,2246,P,1715,P,856,P,2095,P,758,P,781,P,967,P,1061,P,974,P,958,P,1694,P,475,P,2425,P,888,P,1323,P,1215,P,685,P,1545,P,3194,P,1844,P,2966,P,2165,P,1134,P,1204,P,989,P,2186,P,1343,P,3253,P,1348,P,1262,P,1203,P,1865,P,929,P,233,P,903,P,1211,P,2072,P,1875,P,"
"
Transcriptional Coactivator Pc4,HG4297-HT4567_at,928,P,822,P,1681,P,448,P,461,P,600,P,890,P,1717,P,735,P,1733,P,2624,P,661,P,3277,P,2361,P,517,P,1381,P,600,P,574,P,445,P,3045,P,1828,P,1015,P,1550,P,1002,P,1646,P,1406,P,756,P,606,P,257,P,1157,P,1194,P,892,P,799,P,1654,P,1491,P,1037,P,665,P,637,P,"
"
Ribosomal Protein L5,HG4319-HT4589_at,13924,P,21231,P,22273,P,13050,P,18933,P,19432,P,15106,P,21306,P,15205,P,26570,P,19348,P,18620,P,23956,P,26106,P,19138,P,22320,P,17887,P,15370,P,24526,P,25285,P,15789,P,14846,P,21785,P,13136,P,21918,P,22760,P,19855,P,22417,P,14489,P,15310,P,20102,P,25051,P,19943,P,21150,P,25001,P,21724,P,20283,P,16627,P,"
"
Ribosomal Protein L10,HG4542-HT4947_at,11003,P,10988,P,14453,P,10234,P,9337,P,11096,P,7957,P,12432,P,10575,P,10249,P,11377,P,8965,P,16104,P,7424,P,11980,P,13399,P,11474,P,9820,P,8184,P,12850,P,12397,P,7754,P,14760,P,9217,P,12540,P,12275,P,7897,P,12544,P,7538,P,11381,P,12783,P,12830,P,12808,P,9037,P,13521,P,10484,P,11929,P,10749,P,"
"
Ribosomal Protein S12,HG613-HT613_at,11216,P,14866,P,17193,P,10481,P,13637,P,16310,P,17841,P,15507,P,16154,P,14255,P,14317,P,16000,P,17972,P,20045,P,14273,P,16466,P,16186,P,16366,P,17150,P,15296,P,12907,P,9618,P,14616,P,14916,P,15307,P,14996,P,14192,P,16373,P,14768,P,13550,P,14873,P,14303,P,14348,P,15614,P,12772,P,11020,P,14370,P,13447,P,"
"
Epstein-Barr Virus Small Rna-Associated Protein,HG662-HT662_at,4767,P,6422,P,8842,P,3951,P,3804,P,4338,P,6551,P,6190,P,6270,P,7585,P,4521,P,5905,P,15769,P,13058,P,5693,P,6208,P,6211,P,5845,P,6443,P,5058,P,6011,P,3739,P,9008,P,6774,P,6400,P,5968,P,4545,P,9475,P,4371,P,5743,P,6889,P,6270,P,8654,P,7816,P,9678,P,5187,P,6261,P,9217,P,"
"
Ribosomal Protein S13,HG821-HT821_at,14255,P,15804,P,17521,P,18556,P,9858,P,16363,P,12715,P,13717,P,14964,P,14803,P,14981,P,14266,P,16047,P,20306,P,17693,P,16138,P,15088,P,11924,P,17554,P,15210,P,16768,P,16597,P,16051,P,14834,P,17017,P,15810,P,17643,P,16030,P,12181,P,16290,P,15083,P,15671,P,14887,P,17068,P,15790,P,15867,P,12535,P,16041,P,"
"
LCP1 Lymphocyte cytosolic protein 1 (L-plastin),J02923_at,1673,P,2310,P,2934,P,1618,P,355,P,2075,P,1652,P,2653,P,1589,P,1664,P,2448,P,956,P,1269,P,109,P,338,P,2647,P,1042,P,449,P,544,P,2550,P,3321,P,1479,P,2926,P,1469,P,991,P,3515,P,467,P,1419,P,791,P,5618,P,1906,P,542,P,2181,P,1080,P,5873,P,3523,P,3733,P,2294,P,"
"
Profilin mRNA,J03191_at,5807,P,7133,P,6423,P,5912,P,3774,P,6352,P,10209,P,7857,P,8134,P,13954,P,9904,P,5092,P,11905,P,1621,P,1881,P,8613,P,4907,P,7767,P,4394,P,12826,P,11758,P,10009,P,13403,P,9927,P,7458,P,13606,P,8136,P,8412,P,5044,P,11948,P,7111,P,3554,P,7470,P,4847,P,10543,P,9599,P,9111,P,3968,P,"
"
LTA4H Leukotriene A4 hydrolase,J03459_at,849,P,1192,P,1497,P,720,P,959,P,835,P,922,P,1216,P,1323,P,2020,P,1435,P,1234,P,3235,P,1255,P,585,P,821,P,940,P,800,P,1223,P,1096,P,1195,P,1194,P,2073,P,951,P,1078,P,1434,P,876,P,1255,P,759,P,2020,P,1072,P,989,P,1381,P,726,P,1307,P,1540,P,1136,P,1634,P,"
"
ADPRT ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase),J03473_at,2018,P,2291,P,2796,P,1829,P,2497,P,472,P,1591,P,2352,P,2576,P,1874,P,2150,P,1339,P,4441,P,1040,P,1191,P,2741,P,569,P,2088,P,1702,P,650,P,573,P,405,P,1204,P,325,P,264,P,999,P,583,P,803,P,430,P,604,P,404,P,354,P,841,P,500,P,426,P,871,P,671,P,109,P,"
"
ANT3 Adenine nucleotide translocator 3 (liver),J03592_at,9621,P,13522,P,14321,P,10810,P,6754,P,15182,P,8798,P,13845,P,10015,P,10355,P,10263,P,9435,P,18920,P,8384,P,10390,P,12286,P,9011,P,11110,P,8779,P,5137,P,9515,P,9271,P,17241,P,8491,P,11556,P,10988,P,8683,P,12019,P,8663,P,9178,P,12010,P,6020,P,10530,P,9587,P,13349,P,11565,P,9317,P,8139,P,"
"
DbpB-like protein mRNA,J03827_at,6895,P,8140,P,7649,P,6334,P,3969,P,10994,P,5434,P,6947,P,5749,P,5898,P,2881,P,3888,P,10740,P,9068,P,5831,P,7294,P,5467,P,3196,P,5303,P,10249,P,9795,P,8850,P,11440,P,7304,P,10013,P,7739,P,6930,P,5702,P,5701,P,6648,P,12441,P,8773,P,6332,P,6787,P,8864,P,9666,P,7630,P,6839,P,"
"
PGAM1 Phosphoglycerate mutase 1 (brain),J04173_at,2398,P,1501,P,3678,P,1043,P,751,P,1284,P,3369,P,2766,P,1922,P,2724,P,5148,P,1604,P,4027,P,2013,P,1485,P,2404,P,847,P,1651,P,861,P,4000,P,4428,P,1922,P,6082,P,3449,P,2926,P,2632,P,1033,P,2377,P,1966,P,6042,P,3192,P,500,P,1019,P,1266,P,7107,P,3018,P,1372,P,2386,P,"
"
LGALS1 Ubiquinol-cytochrome c reductase core protein II,J04973_at,696,P,893,P,1201,P,215,P,391,P,344,P,764,P,1227,P,692,P,451,P,490,P,425,P,1824,P,1286,P,401,P,1180,P,701,P,499,P,284,P,795,P,939,P,215,P,1021,P,300,P,1015,P,866,P,486,P,539,P,401,P,443,P,599,P,276,P,428,P,754,P,1015,P,410,P,383,P,212,P,"
"
"90-kDa heat-shock protein gene, cDNA",J04988_at,4483,P,8127,P,10367,P,5855,P,4825,P,3699,P,10806,P,8677,P,5578,P,11676,P,6625,P,5009,P,12926,P,5811,P,4406,P,7804,P,8427,P,6653,P,6281,P,8334,P,7442,P,5005,P,10492,P,10436,P,8528,P,7995,P,5430,P,10381,P,6814,P,6826,P,5957,P,3949,P,11110,P,5904,P,11153,P,9225,P,7520,P,7736,P,"
"
RPA2 Replication protein A2 (32kD),J05249_at,2004,P,1328,P,1578,P,1344,P,1536,P,1110,P,1938,P,1555,P,1576,P,2010,P,1583,P,1294,P,2807,P,1021,P,1108,P,2374,P,1577,P,1396,P,1583,P,1170,P,2572,P,978,P,2337,P,1682,P,1408,P,1745,P,694,P,1599,P,1406,P,2018,P,1700,P,1715,P,1999,P,843,P,1618,P,932,P,841,P,2525,P,"
"
M4 protein mRNA,L03532_at,1684,P,1195,P,2127,P,1409,P,1007,P,993,P,2047,P,1965,P,1685,P,1649,P,489,P,1160,P,2988,P,3574,P,1380,P,2322,P,1041,P,1500,P,1030,P,2197,P,2682,P,1481,P,2905,P,1643,P,2993,P,1585,P,1958,P,1222,P,800,P,1926,P,1259,P,1604,P,1537,P,847,P,1499,P,1556,P,1508,P,1180,P,"
"
RPL37A Ribosomal protein L37a,L06499_at,20764,P,21733,P,20332,P,33795,P,24652,P,30549,P,23104,P,18949,P,23168,P,19472,P,24314,P,24383,P,9991,P,24322,P,28105,P,21817,P,24536,P,20360,P,31255,P,17636,P,23316,P,32791,P,18202,P,26787,P,22295,P,18283,P,34392,P,21037,P,37882,P,26232,P,20903,P,24376,P,18634,P,28164,P,17342,P,28208,P,21614,P,22023,P,"
"
RPL12 Ribosomal protein L12,L06505_at,9324,P,10999,P,13543,P,12210,P,5879,P,11214,P,10858,P,11638,P,10670,P,8661,P,13790,P,11870,P,11466,P,18006,P,7802,P,11733,P,11812,P,11114,P,8192,P,11126,P,7627,P,9241,P,12625,P,12487,P,9711,P,12182,P,8614,P,13327,P,11993,P,10270,P,13768,P,14504,P,12917,P,15621,P,11560,P,12264,P,11194,P,12660,P,"
"
INTERFERON GAMMA UP-REGULATED I-5111 PROTEIN PRECURSOR,L07633_at,3586,P,3301,P,4524,P,2629,P,2287,P,2022,P,5470,P,7313,P,3747,P,5100,P,1752,P,4004,P,8239,P,1544,P,1743,P,4011,P,4293,P,4516,P,2326,P,4802,P,5152,P,3378,P,4422,P,4222,P,3408,P,3623,P,2689,P,1752,P,1928,P,2752,P,2436,P,1302,P,2857,P,2696,P,3531,P,2626,P,3186,P,2785,P,"
"
DNAJ PROTEIN HOMOLOG 2,L08069_at,1361,P,1392,P,2016,P,527,P,511,P,544,P,1347,P,1794,P,756,P,931,P,307,P,654,P,3038,P,438,P,410,P,1408,P,1972,P,347,P,-237,M,2148,P,907,P,357,P,655,P,390,P,338,P,580,P,296,P,497,P,247,P,723,P,1037,P,394,P,650,P,238,P,2234,P,370,P,478,P,654,P,"
"
INDUCED MYELOID LEUKEMIA CELL DIFFERENTIATION PROTEIN MCL1,L08246_at,543,P,740,P,2453,P,961,P,404,P,2095,P,1405,P,1718,P,623,P,1015,P,1198,P,1010,P,1969,P,1377,P,791,P,868,P,635,P,827,P,190,P,2972,P,485,P,375,P,783,P,1289,P,733,P,742,P,600,P,3128,P,853,P,6169,P,5502,P,2082,P,6717,P,1766,P,4914,P,2056,P,4136,P,4124,P,"
"
VDAC2 Voltage-dependent anion channel 2,L08666_at,987,P,1488,P,1626,P,1549,P,1031,P,1136,P,1076,P,1199,P,825,P,1013,P,992,P,658,P,2060,P,1597,P,1084,P,1639,P,1029,P,1177,P,594,P,1564,P,1616,P,821,P,2159,P,1111,P,1909,P,1177,P,1054,P,1694,P,1654,P,2496,P,1327,P,2249,P,1604,P,1011,P,2710,P,1517,P,780,P,2520,P,"
"
CANX Calnexin,L10284_at,1859,P,2792,P,3380,P,2175,P,2115,P,1258,P,3137,P,2837,P,2616,P,6156,P,1922,P,3470,P,6801,P,5085,P,1552,P,2623,P,2407,P,2228,P,2490,P,1631,P,2877,P,1566,P,5838,P,3035,P,3391,P,2494,P,1804,P,2742,P,2219,P,3821,P,2932,P,1651,P,2573,P,2365,P,3977,P,3352,P,3365,P,2363,P,"
"
PRE-MRNA SPLICING FACTOR SRP20,L10838_at,2794,P,2308,P,3514,P,2742,P,2548,P,2096,P,1862,P,3866,P,1953,P,2224,P,1283,P,1498,P,4163,P,570,P,2079,P,2411,P,1870,P,911,P,1382,P,2393,P,4960,P,2937,P,4844,P,2208,P,2022,P,1823,P,1986,P,971,P,810,P,1906,P,1981,P,2106,P,2913,P,1735,P,1548,P,2775,P,2168,P,2734,P,"
"
RPL18 Ribosomal protein L18,L11566_at,12112,P,14972,P,17050,P,9281,P,15554,P,14090,P,9225,P,15441,P,15277,P,10391,P,14392,P,10690,P,14544,P,3739,P,15125,P,14585,P,16804,P,15815,P,11279,P,15076,P,11834,P,11010,P,15640,P,13144,P,14740,P,14926,P,13340,P,11745,P,6963,P,10671,P,14263,P,16397,P,14706,P,14119,P,10864,P,14645,P,13623,P,12509,P,"
"
ADENYLYL CYCLASE-ASSOCIATED PROTEIN 1,L12168_at,3477,P,5036,P,3863,P,3810,P,2044,P,2118,P,2376,P,4086,P,2711,P,4749,P,2528,P,1972,P,3899,P,1821,P,1950,P,3094,P,2127,P,1891,P,2745,P,3509,P,3290,P,1735,P,3955,P,1334,P,1654,P,3849,P,1219,P,2789,P,1853,P,4208,P,1511,P,1651,P,2007,P,2533,P,3790,P,5285,P,3827,P,2247,P,"
"
PRE-MRNA SPLICING FACTOR SRP75,L14076_at,1013,P,824,P,834,P,446,P,392,P,379,P,1202,P,875,P,715,P,1038,P,708,P,736,P,1402,P,965,P,1009,P,750,P,441,P,393,P,278,P,494,P,750,P,608,P,983,P,596,P,1302,P,1014,P,855,P,744,P,690,P,1037,P,1168,P,976,P,728,P,343,P,555,P,426,P,518,P,897,P,"
"
EIF4C Eukaryotic translation initiation factor 4C (eIF-4C),L18960_at,1055,P,901,P,1874,P,1256,P,1203,P,1135,P,1528,P,1464,P,810,P,1336,P,515,P,589,P,2141,P,2082,P,775,P,1642,P,1257,P,1251,P,583,P,1528,P,1747,P,565,P,1132,P,769,P,941,P,1325,P,576,P,1305,P,1457,P,1093,P,1188,P,1299,P,1234,P,695,P,1353,P,1160,P,1127,P,2012,P,"
"
RPL27 Ribosomal protein L27,L19527_at,15020,P,16768,P,17138,P,12483,P,16855,P,18169,P,17561,P,16403,P,16856,P,16103,P,17501,P,14847,P,15256,P,24472,P,18845,P,15864,P,18717,P,16467,P,18028,P,17275,P,15107,P,10903,P,16398,P,12320,P,16359,P,17067,P,12224,P,16236,P,13323,P,15007,P,16704,P,18337,P,16441,P,17704,P,15196,P,16610,P,17156,P,16019,P,"
"
ANX11 Annexin XI (56kD autoantigen),L19605_at,1790,P,1154,P,1114,P,15688,P,1146,P,912,P,1810,P,1435,P,1694,P,3201,P,1684,P,1096,P,1884,P,1024,P,941,P,1136,P,1227,P,2492,P,937,P,3155,P,2566,P,1795,P,3582,P,1839,P,1442,P,2744,P,1764,P,2132,P,1478,P,2953,P,1381,P,848,P,1659,P,1312,P,2463,P,2129,P,3168,P,1540,P,"
"
Histone H2A.2 mRNA,L19779_at,4660,P,3153,P,3185,P,4528,P,1454,P,11149,P,4229,P,2826,P,3097,P,5337,P,932,P,1045,P,6216,P,2700,P,2808,P,6566,P,11472,P,6415,P,1678,P,4644,P,2487,P,1198,P,1797,P,5704,P,1248,P,841,P,1221,P,20209,P,1055,P,9467,P,16488,P,10572,P,7493,P,8138,P,20682,P,5272,P,11137,P,3956,P,"
"
HnRNP H mRNA,L22009_at,3401,P,2949,P,4156,P,3494,P,4965,P,2693,P,2079,P,2990,P,2487,P,2427,P,1345,P,2557,P,3904,P,4714,P,5655,P,3253,P,4130,P,2008,P,2301,P,2996,P,4006,P,3871,P,3348,P,1961,P,5389,P,3052,P,2836,P,2696,P,2536,P,4895,P,2167,P,4509,P,2757,P,2453,P,2538,P,2836,P,2690,P,2131,P,"
"
ARH12 Aplysia ras-related homolog 12,L25080_at,7881,P,5676,P,5292,P,3294,P,5180,P,6503,P,8718,P,6257,P,6095,P,9773,P,4118,P,4635,P,9680,P,5157,P,4345,P,5116,P,4152,P,10085,P,3438,P,7772,P,4376,P,4052,P,7535,P,6190,P,7185,P,3463,P,3336,P,5085,P,2154,P,6192,P,4123,P,2982,P,4446,P,4284,P,7516,P,5873,P,6503,P,5296,P,"
"
PROTEIN TRANSPORT PROTEIN SEC61 BETA SUBUNIT,L25085_at,809,P,660,P,1777,P,-67,P,241,P,484,P,731,P,1246,P,1035,P,1413,P,2640,P,206,P,2968,P,2163,P,942,P,1392,P,849,P,949,P,-4,P,1802,P,1838,P,878,P,4104,P,1126,P,3224,P,1780,P,874,P,941,P,377,P,2066,P,2073,P,2768,P,1534,P,1488,P,1850,P,1496,P,443,P,1306,P,"
"
RPL3 Ribosomal protein L3,L26247_at,4279,P,3675,P,6411,P,4239,P,3624,P,5459,P,7492,P,5550,P,4538,P,3280,P,5268,P,5161,P,11180,P,4499,P,8798,P,5819,P,6383,P,7485,P,2315,P,13116,P,6426,P,4201,P,10623,P,7344,P,13446,P,3139,P,4025,P,7773,P,4328,P,11275,P,12508,P,12219,P,8884,P,6633,P,9488,P,6251,P,10996,P,9240,P,"
"
CCT6 Chaperonin containing T-complex subunit 6,L27706_at,486,P,293,P,421,P,369,P,293,P,308,P,812,P,763,P,621,P,640,P,511,P,396,P,2105,P,1154,P,256,P,789,P,397,P,644,P,603,P,491,P,568,P,293,P,843,P,451,P,581,P,675,P,363,P,434,P,302,P,413,P,263,P,225,P,544,P,531,P,512,P,363,P,270,P,284,P,"
"
HnRNP F protein mRNA,L28010_at,802,P,1042,P,1302,P,868,P,662,P,300,P,1873,P,1770,P,1072,P,2869,P,586,P,677,P,2591,P,2247,P,438,P,1376,P,464,P,660,P,908,P,575,P,978,P,782,P,1758,P,1071,P,904,P,1998,P,551,P,431,P,449,P,307,P,603,P,438,P,623,P,427,P,614,P,479,P,518,P,1087,P,"
"
UBIQUINOL-CYTOCHROME C REDUCTASE IRON-SULFUR SUBUNIT PRECURSOR,L32977_at,959,P,666,P,1015,P,549,P,473,P,1227,P,1534,P,1616,P,1467,P,2187,P,1137,P,979,P,5302,P,3117,P,1065,P,1321,P,1126,P,1054,P,807,P,2475,P,1169,P,844,P,2070,P,1329,P,2579,P,1258,P,1236,P,896,P,415,P,1618,P,1397,P,1169,P,1499,P,1946,P,2051,P,1388,P,1253,P,1155,P,"
"
Protein kinase mRNA,L33801_at,287,P,93,P,124,P,45,P,83,P,114,P,211,P,301,P,147,P,393,P,269,P,93,P,135,P,189,P,52,P,468,P,66,P,194,P,269,P,354,P,361,P,289,P,288,P,116,P,204,P,323,P,225,P,260,P,129,P,201,P,146,P,197,P,80,P,142,P,128,P,163,P,383,P,30,P,"
"
"(clone FFE-7) type II inosine monophosphate dehydrogenase (IMPDH2) gene, exons 1-13",L33842_rna1_at,1185,P,2226,P,3197,P,1402,P,1073,P,2052,P,2149,P,3238,P,2059,P,2845,P,3248,P,2737,P,7476,P,4052,P,611,P,1756,P,2076,P,2623,P,1952,P,1337,P,808,P,908,P,4875,P,2386,P,2049,P,1945,P,1179,P,3525,P,1755,P,1964,P,1473,P,690,P,4483,P,2060,P,1544,P,2040,P,937,P,673,P,"
"
PHOSPHATIDYLINOSITOL 4-KINASE ALPHA,L36151_at,1810,P,1389,P,2015,P,1695,P,1416,P,1013,P,2213,P,2309,P,1453,P,2647,P,703,P,1093,P,3046,P,1726,P,1469,P,2184,P,1870,P,1301,P,1300,P,2961,P,2470,P,1392,P,2843,P,1411,P,2159,P,1886,P,1644,P,1712,P,1397,P,2887,P,1538,P,2461,P,1183,P,1200,P,2703,P,1365,P,2975,P,1546,P,"
"
"GT197 partial ORF mRNA, 3' end of cds",L38932_at,2022,P,1807,P,1391,P,2039,P,1562,P,875,P,1609,P,1008,P,1410,P,1170,P,997,P,920,P,3184,P,2241,P,1767,P,1172,P,1093,P,1664,P,1896,P,1425,P,2352,P,1200,P,2421,P,1474,P,1540,P,1331,P,1456,P,1320,P,1247,P,2282,P,2097,P,1918,P,1697,P,924,P,1533,P,1879,P,1660,P,2574,P,"
"
RPL37 Ribosomal protein L37,L38941_at,15962,P,18467,P,16105,P,16187,P,13616,P,9175,P,17992,P,13319,P,18764,P,12455,P,14222,P,20403,P,22256,P,28788,P,12730,P,20579,P,14208,P,15347,P,21247,P,21492,P,18004,P,11471,P,18751,P,17750,P,21849,P,18691,P,13286,P,22395,P,13301,P,10992,P,20051,P,23510,P,20325,P,16982,P,20297,P,16822,P,16828,P,21218,P,"
"
Glycogen synthase kinase 3 mRNA,L40027_at,1125,P,792,P,975,P,868,P,1065,P,395,P,1280,P,979,P,1116,P,1760,P,634,P,663,P,2187,P,1494,P,717,P,1171,P,871,P,1271,P,200,P,829,P,1110,P,762,P,1918,P,841,P,1206,P,949,P,870,P,952,P,771,P,975,P,1150,P,1060,P,817,P,683,P,680,P,823,P,1257,P,1235,P,"
"
"Scaffold attachment factor (SAF-B) gene, partial cds",L43631_at,841,P,699,P,834,P,890,P,571,P,307,P,1146,P,779,P,605,P,955,P,437,P,823,P,3314,P,828,P,632,P,1181,P,408,P,653,P,599,P,761,P,845,P,499,P,995,P,584,P,1039,P,916,P,327,P,546,P,406,P,745,P,449,P,1066,P,722,P,430,P,675,P,393,P,527,P,545,P,"
"
Interleukin-1 receptor-associated kinase (IRAK) mRNA,L76191_at,1720,P,1599,P,1569,P,1925,P,876,P,2128,P,1696,P,2065,P,1271,P,1535,P,678,P,762,P,1933,P,1049,P,789,P,2190,P,1037,P,1670,P,957,P,1127,P,1093,P,638,P,1678,P,575,P,1191,P,1106,P,819,P,1090,P,764,P,2248,P,2081,P,761,P,1151,P,1153,P,2756,P,1123,P,1108,P,2412,P,"
"
Endogenous retrovirus envelope region mRNA (PL1),M11119_at,1768,P,2045,P,900,P,2651,P,1191,P,780,P,836,P,872,P,1411,P,1705,P,1193,P,877,P,1699,P,1492,P,1301,P,2231,P,828,P,891,P,2022,P,1189,P,2087,P,983,P,1136,P,1076,P,1079,P,1328,P,415,P,1175,P,1106,P,1263,P,1257,P,1385,P,1350,P,591,P,893,P,869,P,1584,P,2062,P,"
"
"FTL Ferritin, light polypeptide",M11147_at,5418,P,7070,P,9017,P,4746,P,7880,P,15281,P,6183,P,8506,P,3720,P,12669,P,9784,P,4454,P,13983,P,2900,P,6073,P,6023,P,13276,P,4719,P,4109,P,17348,P,6154,P,6221,P,9428,P,5094,P,6026,P,13077,P,3757,P,12411,P,7855,P,24559,P,21271,P,20121,P,16704,P,11014,P,18367,P,12275,P,19169,P,21484,P,"
"
